"hr_id","animal_id","species","sex","year","month","season","n_pts","n_days"
"00705_MD15F0008_2018_02","MD15F0008","Mule Deer","F",2018,2,"Winter",106,27.1666666666667
"00706_MD15F0008_2018_07","MD15F0008","Mule Deer","F",2018,7,"Summer",100,30.25
"00707_MD15F0008_2019_02","MD15F0008","Mule Deer","F",2019,2,"Winter",668,27.9166666666667
"00708_MD15F0008_2019_07","MD15F0008","Mule Deer","F",2019,7,"Summer",736,30.9166666666667
"00709_MD15F0008_2020_02","MD15F0008","Mule Deer","F",2020,2,"Winter",664,28.9166666666667
"00710_MD15F0008_2020_07","MD15F0008","Mule Deer","F",2020,7,"Summer",692,30.9166666666667
"00723_MD15F0013_2016_02","MD15F0013","Mule Deer","F",2016,2,"Winter",108,27.625
"00724_MD15F0013_2016_07","MD15F0013","Mule Deer","F",2016,7,"Summer",116,30.7916666666667
"00725_MD15F0013_2017_02","MD15F0013","Mule Deer","F",2017,2,"Winter",104,27.0833333333333
"00726_MD15F0013_2017_07","MD15F0013","Mule Deer","F",2017,7,"Summer",112,30.5833333333333
"00727_MD15F0013_2018_02","MD15F0013","Mule Deer","F",2018,2,"Winter",106,27.125
"00728_MD15F0013_2018_07","MD15F0013","Mule Deer","F",2018,7,"Summer",108,30.7916666666667
"00729_MD15F0013_2019_02","MD15F0013","Mule Deer","F",2019,2,"Winter",640,27.9166666666667
"00730_MD15F0013_2019_07","MD15F0013","Mule Deer","F",2019,7,"Summer",718,30.9166666666667
"00731_MD15F0013_2020_02","MD15F0013","Mule Deer","F",2020,2,"Winter",696,28.9166666666667
"00732_MD15F0013_2020_07","MD15F0013","Mule Deer","F",2020,7,"Summer",686,30.9166666666667
"00733_MD15F0013_2021_02","MD15F0013","Mule Deer","F",2021,2,"Winter",668,27.9166666666667
"00734_MD15F0013_2021_07","MD15F0013","Mule Deer","F",2021,7,"Summer",724,30.9166666666667
"00737_MD15F0014_2016_02","MD15F0014","Mule Deer","F",2016,2,"Winter",108,27.6666666666667
"00738_MD15F0014_2016_07","MD15F0014","Mule Deer","F",2016,7,"Summer",122,30.25
"00739_MD15F0014_2017_02","MD15F0014","Mule Deer","F",2017,2,"Winter",108,27.5833333333333
